tag_id,tag_name,tag_count
285,启动困难,48
280,怠速不稳,27
404,发动机故障,19
317,行驶无力,13
391,水温高,11
313,异响,8
345,冒黑烟,8
385,熄火,8
382,动力不足,7
334,"起动困难 ",6
403,发动机异响,6
369,换挡困难,5
368,容易熄火,4
359,开锅,4
466,交流发电机充电电流不稳定,4
459,发动机动力不足,4
490,离合器故障,4
553,排气管冒黑烟,4
360,车灯不亮,3
448,正时齿轮发响,3
461,离合器异响,3
306,消声器爆裂,3
540,冷启动困难,3
425,空调故障,3
458,发动机无法启动,3
332,齿轮损坏,2
349,爆燃,2
381,变速困难,2
300,开锅故障,2
409,充电指示灯不熄灭,2
464,转向沉重,2
387,发动机噪声大,2
399,制动跑偏,2
339,发电机故障,2
526,点火困难,2
516,电路故障,2
545,刹车失灵,2
550,发动机机油消耗量过大,2
557,水箱“开锅”,2
558,充电指示灯不灭,2
556,汽油消耗量过大,2
543,履带断裂,2
311,发动机工作不良,2
470,起动机转动无力,2
298,活塞环折断,2
619,排除气阻故障,2
574,制动阀漏气故障,2
587,蓄电池突然损坏,2
441,输油泵故障,2
650,发动机启动困难,2
292,分电器盖窜气故障,1
294,电枢轴脱焊造成起动机空转,1
296,万向十字轴磨损导致动力不足,1
303,机油尺屡次跳出,1
308,水箱开锅,1
320,气缸盖碗形塞锈穿,1
322,气缸盖锈穿,1
323,汽油泵故障,1
324,分缸线故障,1
326,漏油,1
328,行驶摇头,1
330,漏水,1
336,轮胎异常,1
338,发动机固定螺栓松脱,1
341,电器传动轴松动,1
347,变速器跳挡,1
350,蓄电池损坏,1
352,大量漏油,1
355,跳挡,1
357,熄火困难,1
364,转向困难,1
366,方向盘故障,1
371,触点烧蚀,1
378,耗油过大,1
379,飞轮损坏,1
396,中控锁故障,1
401,离合器发料,1
413,仪表不显示,1
414,换档冲击,1
416,故障灯闪烁,1
418,熄火，发动机故障,1
422,空调压缩机跳动,1
429,倒车灯不亮,1
430,无倒档,1
434,发动机回火,1
438,灯常亮,1
446,制动液温度过高，刹车失灵,1
450,起动机损坏,1
472,高压无火,1
476,发动机缺火,1
478,熄火，发动不着,1
480,自动变速器不跳四档故障,1
489,熄火难,1
492,冷却系统故障,1
494,变速器换挡困难,1
495,变速器乱档,1
496,燃润料消耗异常,1
497,过热现象,1
499,柱塞锈蚀,1
500,散热器开关,1
501,油路中的空气排不净,1
503,耗油量明显增加、运行中加速不良,1
505,化油器保养不当,1
506,电阻断路,1
508,加速时有节奏的异响,1
509,飞轮壳易损坏,1
510,消声器冒黑烟,1
512,变速器跳档,1
515,排出大量蓝烟,1
518,冒黑烟，动力不足,1
519,爬坡无力,1
521,化油器异响,1
523,打转向沉重费力,1
524,油表不准,1
528,制动不灵敏,1
530,故障灯无故亮起,1
532,不能起动,1
533,油表指针下降得很慢,1
535,电压的原因,1
537,车间异味,1
539,车体有异响,1
541,脱档,1
547,发动机机油压力指示表显示异常,1
548,加速时机油压力指示灯会点亮,1
551,行驶时车辆的转向盘难于操纵,1
554,转向灯点亮时闪烁的频率比平时快,1
560,起动机运转无力,1
561,制动时熄火,1
563,烧机油,1
565,发动机不能起动,1
566,发动机工作不正常,1
567,油泵破裂,1
570,发动机烧机油故障,1
571,进排气歧管衬垫烧穿,1
573,发动机动力下降,1
575,起动机空转,1
576,发电机充电量过大,1
577,气缸不工作,1
578,机油泵驱动齿轮异响故障,1
580,起动系疑难故障,1
581,造成连续烧瓦,1
583,制动气压不足,1
585,单缸电时试验机不能起动探因,1
588,汽车摆头,1
590,锁止失效,1
592,“哧哧”声,1
594,怠速不稳且不易起动,1
595,化油器故障,1
596,缺门反复发响,1
598,配气相位严重错乱,1
599,分电器盖窜电,1
600,经常不来油,1
601,起动机无反应,1
602,汽油发动机故障,1
604,空调不制冷,1
606,点火线圈突然爆炸,1
607,起动机故障,1
608,起动机不转动,1
609,"发动机低速时的""吱吱""声",1
611,制动跑偏故障,1
612,离合器传动销故障,1
613,发动机更换气缸后无法起动,1
614,刚大修的发动机严重烧润滑铀,1
615,发电机不发电故障,1
616,使用制动后不发电,1
617,化油器严重回火故障,1
618,急加速不良,1
622,灯泡座被污物覆盖,1
624,高温易熄火,1
625,踩制动踏板时大灯亮,1
627,交流发电机不发电故障,1
629,扭杆弹力失准与变速器故障,1
631,排气管“隆、隆”声,1
632,分离轴承烧蚀引发的故障,1
634,发动机连续“抱轴”,1
635,变速器出现齿轮撞击声,1
636,熔丝连续熔断,1
638,无法启动故障,1
639,空调不致冷,1
640,发动机不能启动,1
641,发动不着,1
642,发动机间歇性无法启动,1
643,不能启动,1
644,费油,1
646,中控门锁突然失灵故障,1
648,启动机故障,1
651,无法启动,1
652,突然熄火后不能启动,1
653,柴油机着火敲击声,1
654,气门脚响,1
655,凸轮轴轴承响,1
