tag_id,tag_name,tag_count
302,发动机,73
362,起动机,14
282,混合气,11
358,离合器,10
289,点火开关,9
348,变速器,9
386,排气管,8
340,发电机,6
333,齿轮,5
321,气缸,5
343,化油器,5
351,蓄电池,5
361,保险丝,5
383,电脑模块,4
393,节温器,4
417,螺栓,4
377,喷油泵,4
376,散热器,4
319,二极管,3
365,车垫,3
307,消音器,3
346,火花塞,3
449,正时齿轮,3
421,气缸垫,3
405,搭铁线,3
310,水箱,3
445,油箱,3
372,点火线圈,3
374,制动阀,3
605,空调,3
398,曲轴,3
335,电流表,2
363,贮气筒,2
373,车灯,2
389,氧传感器,2
390,进油管,2
412,风扇叶片,2
437,水泵,2
456,喷油器,2
337,轮胎,2
467,传动皮带,2
435,凸轮轴,2
485,螺帽,2
406,风扇皮带,2
498,冷却系统,2
380,飞轮,2
316,起动机轴承,2
327,轴承,2
527,喷油头,2
569,消声器,2
297,万向十字轴,2
546,刹车线,2
559,充电指示灯,2
544,履带,2
293,分电器盖,2
375,制动器,2
442,输出泵,2
433,链条,2
388,点火控制器,2
621,柴油机,2
597,气门,2
657,水温表,2
287,点火器,1
295,电枢轴,1
299,活塞,1
305,机油尺,1
312,燃爆限制器,1
315,垫板,1
318,汽油泵,1
325,分缸线,1
329,钢板销衬套,1
331,水箱盖,1
342,电器传动轴,1
344,曲轴箱通风单向阀,1
353,机油泵,1
354,曲轴箱,1
356,垫片,1
367,方向盘,1
370,储油罐,1
384,转换器,1
392,组合仪表,1
394,油管,1
395,驱动齿轮,1
397,电机,1
400,钢板弹簧栓,1
402,分电器断电臂,1
407,PCV阀,1
408,凸轮轴承,1
410,激磁二极管,1
411,活动触点臂,1
415,电磁阀,1
419,排气门,1
420,三元催化转换器,1
423,压力开关,1
424,信号线,1
426,低压管,1
427,电阻,1
428,转子轴,1
431,防盗器,1
432,曲轴位置传感器，发动机电子控制器ECU插接头,1
436,变速箱电脑,1
439,线,1
440,通气口,1
443,分电器,1
444,启动机开关,1
447,制动毂，蹄片,1
451,节温器，冷却系,1
452,二极管接线螺杆,1
453,怠速控制阀,1
454,节气门位置传感器怠速开关,1
455,进气管,1
457,排气系统,1
460,节气门,1
462,分离轴承,1
463,从动盘,1
465,转向系,1
468,电刷,1
469,调节器,1
471,电磁开关,1
473,感应线圈,1
474,水温传感器,1
475,空气流量计,1
477,钢板弹簧U型固定螺栓,1
479,汽缸垫,1
481,三元催化器,1
482,轴承盖螺栓,1
483,连杆轴承，轴颈,1
484,气门推杆,1
486,气泵皮带,1
487,喷油提前角,1
488,气门脚,1
491,风扇离合器,1
493,引擎,1
502,螺栓垫片,1
504,螺钉,1
507,单向阀弹簧,1
511,火花塞陶,1
513,定位销,1
514,五缸连杆瓦,1
517,绝缘垫,1
520,火线圈，点火开关,1
522,螺母,1
525,油表显示器,1
529,制动液,1
531,故障灯,1
534,油表,1
536,车窗,1
538,车内,1
542,扁线束,1
549,机油压力指示灯,1
552,转向盘,1
555,转向灯,1
562,真空阀,1
564,机油,1
568,油泵,1
572,进排气歧管衬垫,1
579,骊山LS6911,1
582,轮轴螺孔,1
584,电路,1
586,单缸,1
589,弹簧,1
591,锁片,1
593,气泵一轴承,1
603,汽油发动机,1
610,活塞环,1
620,汽油管路及汽油泵,1
623,灯泡座,1
626,制动踏板,1
628,交流发电机,1
630,扭杆与变速器,1
633,分离轴,1
637,熔丝,1
645,变速箱,1
647,中控门锁,1
649,启动机,1
656,凸轮轴轴,1
