equipment,doc_id,title,create_time
铁马XC2200舟桥车,2632,铁马XC2200舟桥车怠速不稳,"2017-01-01 00:00:00"
汉阳HY473AS半挂牵引车,2633,汉阳HY473AS半挂牵引车怠速不稳,"2017-01-01 00:00:00"
铁马XC2200舟桥车,2634,铁马XC2200舟桥车怠速不稳,"2017-01-01 00:00:00"
ZSL92式轮式步兵战车,2635,ZSL92式轮式步兵战车启动困难,"2017-01-01 00:00:00"
HY473（6×6）牵引车,2636,HY473（6×6）牵引车启动困难,"2017-01-01 00:00:00"
东风铁甲,2637,东风铁甲启动困难,"2017-01-01 00:00:00"
WZ901保安车,2638,WZ901保安车启动困难,"2017-01-05 00:00:00"
WJ94轮式装甲防暴车,2639,WJ94轮式装甲防暴车启动困难,"2017-01-05 00:00:00"
HY962半挂平板车,2640,HY962半挂平板车启动困难,"2017-01-05 00:00:00"
解放CA1091汽车,2641,解放CA1091汽车分电器盖窜气故障,"2017-01-05 00:00:00"
解放CA1091汽车,2642,解放CA1091汽车分电器盖窜气故障,"2017-01-05 00:00:00"
解放CA1091汽车,2643,解放CA1091汽车分电器盖窜气故障,"2017-01-05 00:00:00"
解放CA1091汽车,2644,解放CA1091汽车分电器盖窜气故障,"2017-01-07 00:00:00"
CA1092E运输车,2645,CA1092E运输车发动机连续开锅故障,"2017-01-07 00:00:00"
解放CA1091汽车,2646,解放CA1091汽车机油尺屡次跳出何故,"2017-01-07 00:00:00"
解放CA1091汽车,2647,解放CA1091运输车消声器经常爆裂,"2017-01-07 00:00:00"
解放CA1090汽车,2648,解放CA1090汽车气缸盖上有沙眼引起水箱开锅,"2017-01-13 00:00:00"
解放CA1092汽车,2649,解放CA1092汽车发动机工作不良,"2017-01-13 00:00:00"
EQ1090型汽车,2650," EQ1090型汽车运货出现震动","2017-01-13 00:00:00"
EQ1090型汽车,2651," EQ1090型汽车起动机轴承磨损导致起动困","2017-01-13 00:00:00"
EQ1090型汽车,2652," EQ1090型汽车行驶无力","2017-01-13 00:00:00"
EQ1090E型汽车,2653," EQ1090E型汽车不启动","2017-01-13 00:00:00"
东风铁甲,2654," 东风铁甲启动困难","2017-01-30 00:00:00"
EQ1090型汽车,2655," EQ1090型汽车气缸盖碗形塞锈穿故障","2017-01-30 00:00:00"
EQ1090E型汽车,2656," EQ1090E型汽车启动困难","2017-01-30 00:00:00"
EQ1090型汽车,2657," EQ1090型汽车气缸盖锈穿故障","2017-01-30 00:00:00"
EQ1090型汽车,2658," EQ1090型汽车发动机汽油泵故障","2017-01-30 00:00:00"
EQ1090型汽车,2659," EQ1090型汽车电路故障","2017-01-30 00:00:00"
EQ1090型汽车,2660," EQ1090E型严重漏油","2017-01-30 00:00:00"
EQ1090型汽车,2661," EQ1090型汽车行驶摇头","2017-02-05 00:00:00"
