selected_equipment,S_tag_name,T_tag_name,doc_id,create_time
6105QC型,6105QC型,启动困难,2716,1492704000
6105QC型,6105QC型,没有阅读说明书,2716,1492704000
6105QC型,6105QC型,喷油泵,2716,1492704000
6105QC型,启动困难,没有阅读说明书,2716,1492704000
6105QC型,喷油泵,没有阅读说明书,2716,1492704000
6105QC型,启动困难,喷油泵,2716,1492704000
6110型,6110型,换挡困难,2717,1492704000
6110型,6110型,驾驶不当,2717,1492704000
6110型,6110型,喷油泵,2717,1492704000
6110型,喷油泵,换挡困难,2717,1492704000
6110型,换挡困难,驾驶不当,2717,1492704000
6110型,喷油泵,驾驶不当,2717,1492704000
CA1092E运输车,CA1092E运输车,开锅故障,2645,1483718400
CA1092E运输车,CA1092E运输车,责任心不强,2645,1483718400
CA1092E运输车,CA1092E运输车,发动机,2645,1483718400
CA1092E运输车,发动机,开锅故障,2645,1483718400
CA1092E运输车,开锅故障,责任心不强,2645,1483718400
CA1092E运输车,发动机,责任心不强,2645,1483718400
CA1092E运输车,CA1092E运输车,开锅故障,2741,1493568000
CA1092E运输车,CA1092E运输车,意外,2741,1493568000
CA1092E运输车,CA1092E运输车,发动机,2741,1493568000
CA1092E运输车,发动机,开锅故障,2741,1493568000
CA1092E运输车,开锅故障,意外,2741,1493568000
CA1092E运输车,发动机,意外,2741,1493568000
EQ1090E型汽车,EQ1090E型汽车,启动困难,2653,1484236800
EQ1090E型汽车,EQ1090E型汽车,责任心不强,2653,1484236800
EQ1090E型汽车,EQ1090E型汽车,二极管,2653,1484236800
EQ1090E型汽车,二极管,启动困难,2653,1484236800
EQ1090E型汽车,启动困难,责任心不强,2653,1484236800
EQ1090E型汽车,二极管,责任心不强,2653,1484236800
EQ1090E型汽车,EQ1090E型汽车,启动困难,2656,1485705600
EQ1090E型汽车,EQ1090E型汽车,没有阅读说明书,2656,1485705600
EQ1090E型汽车,EQ1090E型汽车,二极管,2656,1485705600
EQ1090E型汽车,二极管,启动困难,2656,1485705600
EQ1090E型汽车,启动困难,没有阅读说明书,2656,1485705600
EQ1090E型汽车,二极管,没有阅读说明书,2656,1485705600
EQ1090E型汽车,EQ1090E型汽车,启动困难,2692,1489248000
EQ1090E型汽车,EQ1090E型汽车,操作分心,2692,1489248000
EQ1090E型汽车,EQ1090E型汽车,贮气筒,2692,1489248000
EQ1090E型汽车,启动困难,操作分心,2692,1489248000
EQ1090E型汽车,启动困难,贮气筒,2692,1489248000
EQ1090E型汽车,操作分心,贮气筒,2692,1489248000
EQ1090E型汽车,EQ1090E型汽车,启动困难,2708,1491667200
EQ1090E型汽车,EQ1090E型汽车,知道故障不修理,2708,1491667200
EQ1090E型汽车,EQ1090E型汽车,起动机,2708,1491667200
EQ1090E型汽车,启动困难,知道故障不修理,2708,1491667200
EQ1090E型汽车,启动困难,起动机,2708,1491667200
EQ1090E型汽车,知道故障不修理,起动机,2708,1491667200
EQ1090型汽车,EQ1090型汽车,异响,2650,1484236800
EQ1090型汽车,EQ1090型汽车,上次修理失当,2650,1484236800
EQ1090型汽车,EQ1090型汽车,垫板,2650,1484236800
EQ1090型汽车,上次修理失当,异响,2650,1484236800
EQ1090型汽车,垫板,异响,2650,1484236800
EQ1090型汽车,上次修理失当,垫板,2650,1484236800
EQ1090型汽车,EQ1090型汽车,启动困难,2651,1484236800
EQ1090型汽车,EQ1090型汽车,知道故障不修理,2651,1484236800
EQ1090型汽车,EQ1090型汽车,起动机轴承,2651,1484236800
EQ1090型汽车,启动困难,知道故障不修理,2651,1484236800
EQ1090型汽车,启动困难,起动机轴承,2651,1484236800
EQ1090型汽车,知道故障不修理,起动机轴承,2651,1484236800
EQ1090型汽车,EQ1090型汽车,行驶无力,2652,1484236800
EQ1090型汽车,EQ1090型汽车,驾驶不当,2652,1484236800
EQ1090型汽车,EQ1090型汽车,汽油泵,2652,1484236800
EQ1090型汽车,汽油泵,行驶无力,2652,1484236800
EQ1090型汽车,行驶无力,驾驶不当,2652,1484236800
EQ1090型汽车,汽油泵,驾驶不当,2652,1484236800
EQ1090型汽车,EQ1090型汽车,气缸盖碗形塞锈穿,2655,1485705600
EQ1090型汽车,EQ1090型汽车,上次修理失当,2655,1485705600
EQ1090型汽车,EQ1090型汽车,气缸,2655,1485705600
EQ1090型汽车,上次修理失当,气缸盖碗形塞锈穿,2655,1485705600
EQ1090型汽车,气缸,气缸盖碗形塞锈穿,2655,1485705600
EQ1090型汽车,上次修理失当,气缸,2655,1485705600
EQ1090型汽车,EQ1090型汽车,气缸盖锈穿,2657,1485705600
EQ1090型汽车,EQ1090型汽车,没有阅读说明书,2657,1485705600
EQ1090型汽车,EQ1090型汽车,气缸,2657,1485705600
EQ1090型汽车,气缸,气缸盖锈穿,2657,1485705600
EQ1090型汽车,气缸盖锈穿,没有阅读说明书,2657,1485705600
EQ1090型汽车,气缸,没有阅读说明书,2657,1485705600
EQ1090型汽车,EQ1090型汽车,汽油泵故障,2658,1485705600
EQ1090型汽车,EQ1090型汽车,驾驶不当,2658,1485705600
EQ1090型汽车,EQ1090型汽车,发动机,2658,1485705600
EQ1090型汽车,发动机,汽油泵故障,2658,1485705600
EQ1090型汽车,汽油泵故障,驾驶不当,2658,1485705600
EQ1090型汽车,发动机,驾驶不当,2658,1485705600
EQ1090型汽车,EQ1090型汽车,分缸线故障,2659,1485705600
EQ1090型汽车,EQ1090型汽车,上次修理失当,2659,1485705600
EQ1090型汽车,EQ1090型汽车,分缸线,2659,1485705600
EQ1090型汽车,上次修理失当,分缸线故障,2659,1485705600
EQ1090型汽车,分缸线,分缸线故障,2659,1485705600
EQ1090型汽车,上次修理失当,分缸线,2659,1485705600
EQ1090型汽车,EQ1090型汽车,漏油,2660,1485705600
EQ1090型汽车,EQ1090型汽车,修理不当,2660,1485705600
EQ1090型汽车,EQ1090型汽车,轴承,2660,1485705600
EQ1090型汽车,修理不当,漏油,2660,1485705600
EQ1090型汽车,漏油,轴承,2660,1485705600
EQ1090型汽车,修理不当,轴承,2660,1485705600
EQ1090型汽车,EQ1090型汽车,行驶摇头,2661,1486224000
EQ1090型汽车,EQ1090型汽车,没有阅读说明书,2661,1486224000
EQ1090型汽车,EQ1090型汽车,钢板销衬套,2661,1486224000
EQ1090型汽车,没有阅读说明书,行驶摇头,2661,1486224000
EQ1090型汽车,行驶摇头,钢板销衬套,2661,1486224000
EQ1090型汽车,没有阅读说明书,钢板销衬套,2661,1486224000
EQ1090型汽车,EQ1090型汽车,漏水,2662,1486224000
EQ1090型汽车,EQ1090型汽车,修理不当,2662,1486224000
EQ1090型汽车,EQ1090型汽车,水箱盖,2662,1486224000
EQ1090型汽车,修理不当,漏水,2662,1486224000
EQ1090型汽车,水箱盖,漏水,2662,1486224000
EQ1090型汽车,修理不当,水箱盖,2662,1486224000
EQ1090型汽车,EQ1090型汽车,齿轮损坏,2663,1486224000
EQ1090型汽车,EQ1090型汽车,上次修理失当,2663,1486224000
EQ1090型汽车,EQ1090型汽车,齿轮,2663,1486224000
EQ1090型汽车,上次修理失当,齿轮损坏,2663,1486224000
EQ1090型汽车,齿轮,齿轮损坏,2663,1486224000
EQ1090型汽车,上次修理失当,齿轮,2663,1486224000
EQ1090型汽车,EQ1090型汽车,齿轮损坏,2664,1486224000
EQ1090型汽车,EQ1090型汽车,粗心,2664,1486224000
EQ1090型汽车,EQ1090型汽车,齿轮,2664,1486224000
EQ1090型汽车,粗心,齿轮损坏,2664,1486224000
EQ1090型汽车,齿轮,齿轮损坏,2664,1486224000
EQ1090型汽车,粗心,齿轮,2664,1486224000
EQ1090型汽车,EQ1090型汽车,"起动困难 ",2665,1486224000
EQ1090型汽车,EQ1090型汽车,没有阅读说明书,2665,1486224000
EQ1090型汽车,EQ1090型汽车,电流表,2665,1486224000
EQ1090型汽车,没有阅读说明书,"起动困难 ",2665,1486224000
EQ1090型汽车,电流表,"起动困难 ",2665,1486224000
EQ1090型汽车,没有阅读说明书,电流表,2665,1486224000
EQ1090型汽车,EQ1090型汽车,"起动困难 ",2666,1486224000
EQ1090型汽车,EQ1090型汽车,不懂保养汽车,2666,1486224000
EQ1090型汽车,EQ1090型汽车,电流表,2666,1486224000
EQ1090型汽车,不懂保养汽车,"起动困难 ",2666,1486224000
EQ1090型汽车,电流表,"起动困难 ",2666,1486224000
EQ1090型汽车,不懂保养汽车,电流表,2666,1486224000
EQ1090型汽车,EQ1090型汽车,发动机固定螺栓松脱,2668,1486224000
EQ1090型汽车,EQ1090型汽车,上次修理失当,2668,1486224000
EQ1090型汽车,EQ1090型汽车,发动机,2668,1486224000
EQ1090型汽车,上次修理失当,发动机固定螺栓松脱,2668,1486224000
EQ1090型汽车,发动机,发动机固定螺栓松脱,2668,1486224000
EQ1090型汽车,上次修理失当,发动机,2668,1486224000
EQ1090型汽车,EQ1090型汽车,发电机故障,2669,1487088000
EQ1090型汽车,EQ1090型汽车,上次修理失当,2669,1487088000
EQ1090型汽车,EQ1090型汽车,发电机,2669,1487088000
EQ1090型汽车,上次修理失当,发电机故障,2669,1487088000
EQ1090型汽车,发电机,发电机故障,2669,1487088000
EQ1090型汽车,上次修理失当,发电机,2669,1487088000
EQ1090型汽车,EQ1090型汽车,电器传动轴松动,2670,1487088000
EQ1090型汽车,EQ1090型汽车,知道故障不修理,2670,1487088000
EQ1090型汽车,EQ1090型汽车,电器传动轴,2670,1487088000
EQ1090型汽车,电器传动轴,电器传动轴松动,2670,1487088000
EQ1090型汽车,电器传动轴松动,知道故障不修理,2670,1487088000
EQ1090型汽车,电器传动轴,知道故障不修理,2670,1487088000
EQ1090型汽车,EQ1090型汽车,"起动困难 ",2671,1487088000
EQ1090型汽车,EQ1090型汽车,上次修理失当,2671,1487088000
EQ1090型汽车,EQ1090型汽车,化油器,2671,1487088000
EQ1090型汽车,上次修理失当,"起动困难 ",2671,1487088000
