tag_id,tag_name,doc_id,title,create_time
280,怠速不稳,2632,铁马XC2200舟桥车怠速不稳,"2017-01-01 00:00:00"
281,没有阅读说明书,2632,铁马XC2200舟桥车怠速不稳,"2017-01-01 00:00:00"
282,混合气,2632,铁马XC2200舟桥车怠速不稳,"2017-01-01 00:00:00"
280,怠速不稳,2633,汉阳HY473AS半挂牵引车怠速不稳,"2017-01-01 00:00:00"
283,操作分心,2633,汉阳HY473AS半挂牵引车怠速不稳,"2017-01-01 00:00:00"
282,混合气,2633,汉阳HY473AS半挂牵引车怠速不稳,"2017-01-01 00:00:00"
280,怠速不稳,2634,铁马XC2200舟桥车怠速不稳,"2017-01-01 00:00:00"
284,驾驶不当,2634,铁马XC2200舟桥车怠速不稳,"2017-01-01 00:00:00"
282,混合气,2634,铁马XC2200舟桥车怠速不稳,"2017-01-01 00:00:00"
285,启动困难,2635,ZSL92式轮式步兵战车启动困难,"2017-01-01 00:00:00"
286,粗心,2635,ZSL92式轮式步兵战车启动困难,"2017-01-01 00:00:00"
287,点火器,2635,ZSL92式轮式步兵战车启动困难,"2017-01-01 00:00:00"
285,启动困难,2636,HY473（6×6）牵引车启动困难,"2017-01-01 00:00:00"
288,修理不当,2636,HY473（6×6）牵引车启动困难,"2017-01-01 00:00:00"
289,点火开关,2636,HY473（6×6）牵引车启动困难,"2017-01-01 00:00:00"
285,启动困难,2637,东风铁甲启动困难,"2017-01-01 00:00:00"
288,修理不当,2637,东风铁甲启动困难,"2017-01-01 00:00:00"
289,点火开关,2637,东风铁甲启动困难,"2017-01-01 00:00:00"
285,启动困难,2638,WZ901保安车启动困难,"2017-01-05 00:00:00"
290,不懂保养汽车,2638,WZ901保安车启动困难,"2017-01-05 00:00:00"
289,点火开关,2638,WZ901保安车启动困难,"2017-01-05 00:00:00"
285,启动困难,2639,WJ94轮式装甲防暴车启动困难,"2017-01-05 00:00:00"
286,粗心,2639,WJ94轮式装甲防暴车启动困难,"2017-01-05 00:00:00"
289,点火开关,2639,WJ94轮式装甲防暴车启动困难,"2017-01-05 00:00:00"
285,启动困难,2640,HY962半挂平板车启动困难,"2017-01-05 00:00:00"
291,知道故障不修理,2640,HY962半挂平板车启动困难,"2017-01-05 00:00:00"
289,点火开关,2640,HY962半挂平板车启动困难,"2017-01-05 00:00:00"
292,分电器盖窜气故障,2641,解放CA1091汽车分电器盖窜气故障,"2017-01-05 00:00:00"
281,没有阅读说明书,2641,解放CA1091汽车分电器盖窜气故障,"2017-01-05 00:00:00"
293,分电器盖,2641,解放CA1091汽车分电器盖窜气故障,"2017-01-05 00:00:00"
294,电枢轴脱焊造成起动机空转,2642,解放CA1091汽车分电器盖窜气故障,"2017-01-05 00:00:00"
290,不懂保养汽车,2642,解放CA1091汽车分电器盖窜气故障,"2017-01-05 00:00:00"
295,电枢轴,2642,解放CA1091汽车分电器盖窜气故障,"2017-01-05 00:00:00"
296,万向十字轴磨损导致动力不足,2643,解放CA1091汽车分电器盖窜气故障,"2017-01-05 00:00:00"
284,驾驶不当,2643,解放CA1091汽车分电器盖窜气故障,"2017-01-05 00:00:00"
297,万向十字轴,2643,解放CA1091汽车分电器盖窜气故障,"2017-01-05 00:00:00"
298,活塞环折断,2644,解放CA1091汽车分电器盖窜气故障,"2017-01-07 00:00:00"
281,没有阅读说明书,2644,解放CA1091汽车分电器盖窜气故障,"2017-01-07 00:00:00"
299,活塞,2644,解放CA1091汽车分电器盖窜气故障,"2017-01-07 00:00:00"
300,开锅故障,2645,CA1092E运输车发动机连续开锅故障,"2017-01-07 00:00:00"
301,责任心不强,2645,CA1092E运输车发动机连续开锅故障,"2017-01-07 00:00:00"
302,发动机,2645,CA1092E运输车发动机连续开锅故障,"2017-01-07 00:00:00"
303,机油尺屡次跳出,2646,解放CA1091汽车机油尺屡次跳出何故,"2017-01-07 00:00:00"
304,不定时检查车况,2646,解放CA1091汽车机油尺屡次跳出何故,"2017-01-07 00:00:00"
305,机油尺,2646,解放CA1091汽车机油尺屡次跳出何故,"2017-01-07 00:00:00"
306,消声器爆裂,2647,解放CA1091运输车消声器经常爆裂,"2017-01-07 00:00:00"
284,驾驶不当,2647,解放CA1091运输车消声器经常爆裂,"2017-01-07 00:00:00"
307,消音器,2647,解放CA1091运输车消声器经常爆裂,"2017-01-07 00:00:00"
308,水箱开锅,2648,解放CA1090汽车气缸盖上有沙眼引起水箱开锅,"2017-01-13 00:00:00"
309,意外,2648,解放CA1090汽车气缸盖上有沙眼引起水箱开锅,"2017-01-13 00:00:00"
310,水箱,2648,解放CA1090汽车气缸盖上有沙眼引起水箱开锅,"2017-01-13 00:00:00"
311,发动机工作不良,2649,解放CA1092汽车发动机工作不良,"2017-01-13 00:00:00"
288,修理不当,2649,解放CA1092汽车发动机工作不良,"2017-01-13 00:00:00"
